Name;DepartmentId
Sucre;1151
Santiago De Tolú;1151
San José De Toluviejo;1151
Ibagué;1152
Alpujarra;1152
Alvarado;1152
Ambalema;1152
Anzoátegui;1152
Armero;1152
Ataco;1152
Cajamarca;1152
Carmen De Apicalá;1152
Casabianca;1152
Chaparral;1152
Coello;1152
Coyaima;1152
Cunday;1152
Dolores;1152
Espinal;1152
Falan;1152
Flandes;1152
Fresno;1152
Guamo;1152
Herveo;1152
Honda;1152
Icononzo;1152
Lérida;1152
Líbano;1152
San Sebastián De Mariquita;1152
Melgar;1152
Murillo;1152
Natagaima;1152
Ortega;1152
Palocabildo;1152
Piedras;1152
Planadas;1152
Prado;1152
Purificación;1152
Rioblanco;1152
Roncesvalles;1152
Rovira;1152
Saldaña;1152
San Antonio;1152
San Luis;1152
Santa Isabel;1152
Suárez;1152
Valle De San Juan;1152
Venadillo;1152
Villahermosa;1152
Villarrica;1152
Santiago De Cali;1153
Alcalá;1153
Andalucía;1153
Ansermanuevo;1153
Argelia;1153
Bolívar;1153
Buenaventura;1153
Guadalajara De Buga;1153
Bugalagrande;1153
Caicedonia;1153
Calima;1153
Candelaria;1153
Cartago;1153
Dagua;1153
El Águila;1153
El Cairo;1153
El Cerrito;1153
El Dovio;1153
Florida;1153
Ginebra;1153
Guacarí;1153
Jamundí;1153
La Cumbre;1153
La Unión;1153
La Victoria;1153
Obando;1153
Palmira;1153
Pradera;1153
Restrepo;1153
Riofrío;1153
Roldanillo;1153
San Pedro;1153
Sevilla;1153
Toro;1153
Trujillo;1153
Tuluá;1153
Ulloa;1153
Versalles;1153
Vijes;1153
Yotoco;1153
Yumbo;1153
Zarzal;1153
Arauca;1125
Arauquita;1125
Cravo Norte;1125
Fortul;1125
Puerto Rondón;1125
Saravena;1125
Tame;1125
Yopal;1133
Aguazul;1133
Chámeza;1133
Hato Corozal;1133
La Salina;1133
Maní;1133
Monterrey;1133
Nunchía;1133
Orocué;1133
Paz De Ariporo;1133
Pore;1133
Recetor;1133
Sabanalarga;1133
Sácama;1133
San Luis De Palenque;1133
Támara;1133
Tauramena;1133
Trinidad;1133
Villanueva;1133
Mocoa;1147
Colón;1147
Orito;1147
Puerto Asís;1147
Puerto Caicedo;1147
Puerto Guzmán;1147
Puerto Leguízamo;1147
Sibundoy;1147
San Francisco;1147
San Miguel;1147
Santiago;1147
Valle Del Guamuez;1147
Villagarzón;1147
San Andrés **;1126
Providencia;1126
Leticia;1123
El Encanto;1123
La Chorrera;1123
La Pedrera;1123
La Victoria;1123
Mirití;1123
Puerto Alegría;1123
Puerto Arica;1123
Puerto Nariño;1123
Puerto Santander;1123
Tarapacá;1123
Inírida;1139
Barrancominas;1139
San Felipe;1139
Puerto Colombia;1139
La Guadalupe;1139
Cacahual;1139
Pana Pana;1139
Morichal;1139
San José Del Guaviare;1140
Calamar;1140
El Retorno;1140
Miraflores;1140
Mitú;1154
Carurú;1154
Pacoa;1154
Taraira;1154
Papunahua;1154
Yavaraté;1154
Puerto Carreño;1155
La Primavera;1155
Santa Rosalía;1155
Cumaribo;1155
